,startphrase,ending1,ending2,labels,vehicle,vehicle_characteristics,startphrase_enhanced
502,The cake has the density of a fluffy cloud in Heaven.,The cake is light and fluffy.,The cake is extremely dense.,0,cloud,"white, fluffy, ethereal","The cake has the density of a fluffy cloud in Heaven. Characteristics of cloud include: white, fluffy, ethereal."
503,The cake has the density of a dying star.,The cake is light and fluffy.,The cake is extremely dense.,1,star,"twinkling, radiant, celestial","The cake has the density of a dying star. Characteristics of star include: twinkling, radiant, celestial."
504,that girl is going places as fast a donkey chasing its tail,she isn’t getting anywhere,she’s going quickly,0,donkey,"Stubborn, hardworking, resilient","that girl is going places as fast a donkey chasing its tail. Characteristics of donkey include: Stubborn, hardworking, resilient."
505,that girl is going places as fast a rookie at a nascar track,she isn’t getting anywhere,she’s going quickly,1,rookie,"inexperienced, naive, eager","that girl is going places as fast a rookie at a nascar track. Characteristics of rookie include: inexperienced, naive, eager."
506,that fortune teller is as magical as moonlight,she is talentless,she’s good at what she does,0,moonlight,"mysterious, ethereal, romantic","that fortune teller is as magical as moonlight. Characteristics of moonlight include: mysterious, ethereal, romantic."
507,that fortune teller is as magical as harry potter,she is talentless,she’s good at what she does,1,harry potter,"magical, enchanting, captivating","that fortune teller is as magical as harry potter. Characteristics of harry potter include: magical, enchanting, captivating."
508,My boss is as agreeable as a Sunday school teacher,my boss is nice,my boss is mean,0,Sunday school teacher,"caring, patient, devoted","My boss is as agreeable as a Sunday school teacher. Characteristics of Sunday school teacher include: caring, patient, devoted."
509,My boss is as agreeable as rabid wolf,my boss is nice,my boss is mean,1,wolf,"Fierce, cunning, mysterious","My boss is as agreeable as rabid wolf. Characteristics of wolf include: Fierce, cunning, mysterious."
510,I'm as alert as a guard dog,I'm awake,I'm tired,0,dog,"Loyal, Playful, Devoted","I'm as alert as a guard dog. Characteristics of dog include: Loyal, Playful, Devoted."
511,I'm as alert as a sleeping sloth,I'm awake,I'm tired,1,sloth,"slow, lazy, indolent","I'm as alert as a sleeping sloth. Characteristics of sloth include: slow, lazy, indolent."
512,He has the physical strength of 20 young lions,He is very strong,He has little strength,0,lions,"majestic, fierce, powerful","He has the physical strength of 20 young lions. Characteristics of lions include: majestic, fierce, powerful."
513,He has the physical strength of 20 sleeping sloths,He is very strong,He has little strength,1,sloths,"slow, lazy, content","He has the physical strength of 20 sleeping sloths. Characteristics of sloths include: slow, lazy, content."
514,The song was as classic as a chocolate chip cookie,The song was a total classic.,The song was really novel.,0,cookie,"sweet, tasty, comforting","The song was as classic as a chocolate chip cookie. Characteristics of cookie include: sweet, tasty, comforting."
515,The song was as classic as freeze-dried ice cream,The song was a total classic.,The song was really novel.,1,ice cream,"sweet, creamy, refreshing","The song was as classic as freeze-dried ice cream. Characteristics of ice cream include: sweet, creamy, refreshing."
516,Her range of career options was prix-fixe meal,Her range of career options was narrow.,She had a lot of career options.,0,meal,"Satisfying, Nourishing, Communal","Her range of career options was prix-fixe meal. Characteristics of meal include: Satisfying, Nourishing, Communal."
517,Her range of career options was Chinese buffet,Her range of career options was narrow.,She had a lot of career options.,1,buffet,"Wholesome, generous, indulgent","Her range of career options was Chinese buffet. Characteristics of buffet include: Wholesome, generous, indulgent."
518,The gun was as dangerous as a lion,The gun was dangerous,The gun was harmless,0,lion,"majestic, powerful, regal","The gun was as dangerous as a lion. Characteristics of lion include: majestic, powerful, regal."
519,The gun was as dangerous as a rabbit,The gun was dangerous,The gun was harmless,1,rabbit,"Cute, swift, prolific","The gun was as dangerous as a rabbit. Characteristics of rabbit include: Cute, swift, prolific."
520,The car had the reliability of the sun rising,The car works well,The car does not work well,0,sun,"radiant, luminous, vital","The car had the reliability of the sun rising. Characteristics of sun include: radiant, luminous, vital."
521,The car had the reliability of my grandfather's memory,The car works well,The car does not work well,1,memory,"Fleeting, elusive, nostalgic","The car had the reliability of my grandfather's memory. Characteristics of memory include: Fleeting, elusive, nostalgic."
522,The runner had the speed of a fired bullet,The runner is fast,The runner is slow,0,bullet,"Fast, Penetrating, Deadly","The runner had the speed of a fired bullet. Characteristics of bullet include: Fast, Penetrating, Deadly."
523,The runner had the speed of a box turtle,The runner is fast,The runner is slow,1,turtle,"slow, steady, resilient","The runner had the speed of a box turtle. Characteristics of turtle include: slow, steady, resilient."
524,That girl is as pretty as a pile of dung,That girl is really ugly,That girl is beautiful,0,dung,"repugnant, foul, repulsive","That girl is as pretty as a pile of dung. Characteristics of dung include: repugnant, foul, repulsive."
525,That girl is as pretty as flowers blooming in the spring,That girl is really ugly,That girl is beautiful,1,flowers,"beautiful, delicate, vibrant","That girl is as pretty as flowers blooming in the spring. Characteristics of flowers include: beautiful, delicate, vibrant."
526,The woman had the radiance of a sun-lit meadow.,The woman is good looking.,The woman is not good looking.,0,meadow,"lush, serene, expansive","The woman had the radiance of a sun-lit meadow. Characteristics of meadow include: lush, serene, expansive."
527,The woman had the radiance of a dark alley.,The woman is good looking.,The woman is not good looking.,1,alley,"narrow, mysterious, hidden","The woman had the radiance of a dark alley. Characteristics of alley include: narrow, mysterious, hidden."
528,Her dancing companion was as physical as a many-armed gorilla.,The companion was clumsy.,The companion was graceful.,0,gorilla,"smart, powerful, dominant","Her dancing companion was as physical as a many-armed gorilla. Characteristics of gorilla include: smart, powerful, dominant."
529,Her dancing companion was as physical as a lithe gelding.,The companion was clumsy.,The companion was graceful.,1,gelding,"emasculated, neutered, docile","Her dancing companion was as physical as a lithe gelding. Characteristics of gelding include: emasculated, neutered, docile."
530,The drawing was as round as a globe.,The drawing was round.,"The drawing was not round at all, and in fact was square.",0,globe,"round, global, universal","The drawing was as round as a globe. Characteristics of globe include: round, global, universal."
